total_id,scientificName,kingdomName,phylumName,className,orderName,familyName,redlistCategory,marine_regions,url
18140358/60782640,Bathylagichthys greyae,ANIMALIA,CHORDATA,ACTINOPTERYGII,OSMERIFORMES,BATHYLAGIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/18140358/60782640
18140736/60782748,Dolicholagus longirostris,ANIMALIA,CHORDATA,ACTINOPTERYGII,OSMERIFORMES,BATHYLAGIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/18140736/60782748
190485/60782869,Melanolagus bericoides,ANIMALIA,CHORDATA,ACTINOPTERYGII,OSMERIFORMES,BATHYLAGIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190485/60782869
198623/60783406,Cataetyx laticeps,ANIMALIA,CHORDATA,ACTINOPTERYGII,OPHIDIIFORMES,BYTHITIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/198623/60783406
60482676/60785140,Platyberyx andriashevi,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CARISTIIDAE,Data Deficient,Atlantic Eastern Central,https://www.iucnredlist.org/species/60482676/60785140
60469670/60785498,Centrophryne spinulosa,ANIMALIA,CHORDATA,ACTINOPTERYGII,LOPHIIFORMES,CENTROPHRYNIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/60469670/60785498
190349/60786054,Cetomimus gillii,ANIMALIA,CHORDATA,ACTINOPTERYGII,CETOMIMIFORMES,CETOMIMIDAE,Data Deficient,Atlantic Eastern Central,https://www.iucnredlist.org/species/190349/60786054
190260/60786169,Cetostoma regani,ANIMALIA,CHORDATA,ACTINOPTERYGII,CETOMIMIFORMES,CETOMIMIDAE,Data Deficient,Atlantic Eastern Central,https://www.iucnredlist.org/species/190260/60786169
190414/60786205,Ditropichthys storeri,ANIMALIA,CHORDATA,ACTINOPTERYGII,CETOMIMIFORMES,CETOMIMIDAE,Data Deficient,Atlantic Eastern Central,https://www.iucnredlist.org/species/190414/60786205
190331/60786235,Gyrinomimus myersi,ANIMALIA,CHORDATA,ACTINOPTERYGII,CETOMIMIFORMES,CETOMIMIDAE,Data Deficient,Atlantic Eastern Central,https://www.iucnredlist.org/species/190331/60786235
190109/60786653,Chiasmodon subniger,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHIASMODONTIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190109/60786653
60470373/60786671,Dysalotus oligoscolus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHIASMODONTIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/60470373/60786671
60471792/60786731,Kali kerberti,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHIASMODONTIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/60471792/60786731
60483083/60786820,Pseudoscopelus altipinnis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHIASMODONTIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/60483083/60786820
18227109/60787320,Cyema atrum,ANIMALIA,CHORDATA,ACTINOPTERYGII,SACCOPHARYNGIFORMES,CYEMATIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/18227109/60787320
60470485/60787999,Gigantactis gibbsi,ANIMALIA,CHORDATA,ACTINOPTERYGII,LOPHIIFORMES,GIGANTACTINIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/60470485/60787999
60470489/60788062,Gigantactis golovani,ANIMALIA,CHORDATA,ACTINOPTERYGII,LOPHIIFORMES,GIGANTACTINIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/60470489/60788062
60470665/60788084,Gigantactis gracilicauda,ANIMALIA,CHORDATA,ACTINOPTERYGII,LOPHIIFORMES,GIGANTACTINIDAE,Data Deficient,Atlantic Eastern Central,https://www.iucnredlist.org/species/60470665/60788084
60470683/60788195,Gigantactis longicirra,ANIMALIA,CHORDATA,ACTINOPTERYGII,LOPHIIFORMES,GIGANTACTINIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/60470683/60788195
60470687/60788211,Gigantactis vanhoeffeni,ANIMALIA,CHORDATA,ACTINOPTERYGII,LOPHIIFORMES,GIGANTACTINIDAE,Data Deficient,Atlantic Eastern Central,https://www.iucnredlist.org/species/60470687/60788211
60483177/60788228,Rhynchactis macrothrix,ANIMALIA,CHORDATA,ACTINOPTERYGII,LOPHIIFORMES,GIGANTACTINIDAE,Data Deficient,Atlantic Eastern Central,https://www.iucnredlist.org/species/60483177/60788228
18252612/60790215,Cyclothone acclinidens,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,GONOSTOMATIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/18252612/60790215
60469980/60790321,Cyclothone parapallida,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,GONOSTOMATIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/60469980/60790321
