internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
174266061,Pseudophilautus reticulatus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,reticulatus,,,,,"(Günther, 1864)","This is a broader concept of<em> P</em><em>seudophilautus</em><em>&#160;reticulatus</em> that now includes all the records from <em>P. papillosus</em>, as these species have been synonymized (Ellepola <em>et al.</em> 2021)."
58895,Pseudophilautus rugatus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,rugatus,,,,,"(Ahl, 1927)","This species is considered distinct from <i>Philautus leucorhinus</i> (Günther, 1858) following Manamendra-Arachchi and Pethiyagoda (2005)."
58896,Pseudophilautus rus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,rus,,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)",
58898,Pseudophilautus sarasinorum,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,sarasinorum,,,,,"(Muller, 1887)",We consider this species to be distinct from <em>Philautus nanus</em> (Günther 1869) following Manamendra-Arachchi and Pethiyagoda (2005).
58901,Pseudophilautus semiruber,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,semiruber,,,,,"(Annandale, 1913)",This species is known only from the holotype which has been lost. It is not currently possible to match this name to any known species in the wild. It was removed from the synonymy of <em>Philautus leucorhinus</em> following Manamendra-Arachchi and Pethiyagoda (2005).
58904,Pseudophilautus silus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,silus,,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)",
58905,Pseudophilautus simba,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,simba,,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)",
58919,Pseudophilautus stellatus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,stellatus,,,,,"(Kelaart, 1853)",
58920,Pseudophilautus stictomerus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,stictomerus,,,,,"(Günther, 1876)",
58924,Pseudophilautus temporalis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,temporalis,,,,,"(Günther, 1864)",Specimens formerly attributed to <em>Philautus temporalis</em> and <em>P. leucorhinus</em> from the Western Ghats are now correctly assigned to <em>P. wynaadensis</em>. <em>P. temporalis</em> and <em>P. leucorhinus</em> are now considered to be endemic species of Sri Lanka (S.D. Biju and K. Manamendra-Arachchi pers. comm.).
58931,Pseudophilautus variabilis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,variabilis,,,,,"(Günther, 1858)","Specimens formerly attributed to <em>Philautus variabilis</em> from the Western Ghats of India are now known to be misidentified <em>P. wynaadensis</em>. <em>P. variabilis</em> is endemic to Sri Lanka, where it is now considered to be extinct (K. Manamendra-Arachchi and S.D. Biju pers. comm.)."
58933,Pseudophilautus silvaticus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,silvaticus,,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)",
58934,Pseudophilautus viridis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,viridis,,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)",
58938,Pseudophilautus zal,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,zal,,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)",
58939,Pseudophilautus zimmeri,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,zimmeri,,,,,"(Ahl, 1927)",This species is considered distinct from <em>Philautus microtympanum</em> following Manamendra-Arachchi and Pethiyagoda (2005).
58940,Pseudophilautus zorro,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,zorro,,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)",
58943,Polypedates cruciger,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Polypedates,cruciger,,,,,"Blyth, 1852",Specimens previously attributed to this species from the Western Ghats of India have been assigned to&#160;<em>Polypedates pseudocruciger</em>&#160;(Das and Ravichandran 1998).
58946,Taruga eques,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Taruga,eques,,,,,"(Günther, 1858)",This species was previously placed in the genera&#160;<em>Rhacophorus </em>and <em>Polypedates</em>.
58947,Taruga fastigo,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Taruga,fastigo,,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2001)",
58954,Taruga longinasus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Taruga,longinasus,,,,,"(Ahl, 1927)",
